compensation_paid_pct,court_cases_active,court_cases_recent_90d,court_case_avg_age_days,rr_progress_pct,possession_refusing_pct,st_families,forest_clearance_applied,days_since_forest_clearance_needed,months_elapsed,months_total,dept_response_days,total_land_area_hectares,est_families_affected,lao_backlog_ratio,political_cycle_proximity,document_rejection_rate,is_schedule_v_tribal,is_forest_land,is_urban_commercial,stage_completed,risk_score,risk_level,actual_delay_months,actual_delay_days,persona
72.9,3,0,125.83237415257838,63.1,11.2,0,1,0,16,24,12.8,179.5,29,1.28,29,0.092,0,0,1,1,25.0,MODERATE,6.6,201,MODERATE_standard
51.0,9,2,291.9351983287322,43.0,20.8,21,0,0,36,36,17.9,750.7,251,3.09,27,0.329,1,1,0,0,56.7,HIGH,12.8,389,HIGH_backlog
20.5,10,2,426.5693138656204,15.1,46.7,9,0,199,40,60,31.0,770.9,196,4.89,5,0.758,0,0,0,0,94.0,CRITICAL,32.0,973,CRITICAL_injunction
85.2,0,0,39.922135060261354,92.8,3.3,0,1,0,11,18,6.8,91.7,9,0.7,33,0.068,0,0,0,0,12.0,LOW,0.9,27,LOW_streamlined
67.5,4,0,138.16406531858954,70.2,9.0,1,1,0,19,24,14.4,210.3,48,1.44,8,0.091,0,0,1,1,25.4,MODERATE,3.7,112,MODERATE_standard
29.9,14,2,391.91623773497946,20.0,41.2,6,0,327,34,36,33.8,362.1,137,4.43,12,0.771,0,1,0,0,86.1,CRITICAL,16.5,502,CRITICAL_injunction
41.8,7,2,300.48848250470274,47.4,28.2,6,0,0,22,48,18.4,198.6,40,2.63,14,0.357,1,0,0,0,58.8,HIGH,12.4,377,HIGH_backlog
91.1,0,0,47.66231103737254,82.7,0.8,0,1,0,10,24,5.4,128.6,15,0.83,30,0.066,0,0,1,0,12.0,LOW,2.1,64,LOW_streamlined
54.0,9,3,264.4476363047771,41.6,28.9,6,0,115,29,36,17.1,561.2,94,2.77,12,0.272,0,0,0,0,65.1,HIGH,8.9,271,HIGH_backlog
53.0,7,3,210.73147351133423,42.8,25.5,16,0,49,18,36,20.5,508.1,133,3.58,16,0.296,0,0,0,1,59.1,HIGH,11.6,353,HIGH_backlog
78.6,2,0,15.887554144507057,75.4,2.2,0,1,0,11,24,6.9,144.6,15,0.39,31,0.056,0,0,1,1,12.3,LOW,1.5,46,LOW_streamlined
78.5,1,0,22.267455484066048,76.9,5.9,0,1,0,4,24,5.9,133.7,21,0.4,24,0.06,0,0,1,1,13.6,LOW,1.4,43,LOW_streamlined
65.9,4,0,69.01653380829705,57.4,14.0,0,1,0,8,36,14.1,208.7,36,1.55,29,0.141,0,0,1,1,26.2,MODERATE,6.1,185,MODERATE_standard
66.7,4,0,143.0731877421423,66.1,16.7,0,1,0,10,24,14.9,52.1,13,1.32,22,0.111,0,1,1,0,28.7,MODERATE,7.2,219,MODERATE_standard
55.0,9,1,296.0481663810948,44.8,27.6,2,1,58,37,48,17.0,130.9,32,2.31,22,0.335,0,1,0,0,51.8,HIGH,11.8,359,HIGH_backlog
93.3,0,0,56.95338492564481,95.1,0.2,0,1,0,4,24,8.0,172.2,23,0.9,24,0.064,0,0,1,1,12.0,LOW,1.2,36,LOW_streamlined
75.1,1,0,45.77766576171209,81.8,3.7,0,1,0,14,18,6.9,153.6,14,0.39,44,0.013,0,0,0,1,12.0,LOW,2.4,73,LOW_streamlined
95.8,0,0,51.891286764162274,76.5,5.9,0,1,0,16,30,5.2,200.9,16,0.78,16,0.013,0,0,1,1,12.0,LOW,0.1,3,LOW_streamlined
70.0,4,0,106.94037192964558,69.7,8.3,2,1,0,17,36,10.9,361.8,54,1.53,7,0.199,0,0,0,1,26.2,MODERATE,6.3,192,MODERATE_standard
73.9,3,1,128.5582730303489,69.4,8.6,0,1,0,22,24,13.6,213.4,29,1.59,35,0.183,0,0,0,1,20.7,LOW,2.2,67,MODERATE_standard
28.8,18,3,517.3492996615955,21.8,40.7,22,0,121,26,48,32.3,1305.8,444,3.96,21,0.45,0,1,0,0,81.4,CRITICAL,19.1,581,CRITICAL_injunction
77.2,2,0,27.093608301934303,87.4,6.1,0,1,0,14,18,7.2,161.9,26,0.85,15,0.076,0,0,1,1,14.1,LOW,0.2,6,LOW_streamlined
55.4,8,1,183.0972972140596,28.0,32.0,14,1,0,37,48,22.2,216.5,64,3.16,15,0.318,0,0,0,0,49.6,HIGH,9.1,277,HIGH_backlog
45.8,8,1,218.3901283288138,34.7,35.1,35,0,0,21,48,23.2,678.1,160,2.52,9,0.258,0,0,0,0,53.4,HIGH,10.6,322,HIGH_backlog
49.3,9,2,291.5152207366647,25.7,22.1,13,1,0,33,48,17.0,430.1,94,3.16,15,0.3,0,0,0,1,54.1,HIGH,9.9,301,HIGH_backlog
26.4,18,4,290.6970828440564,18.2,43.7,12,0,235,37,48,21.6,763.2,246,3.98,23,0.5,0,1,0,0,86.6,CRITICAL,25.9,787,CRITICAL_injunction
12.8,10,3,466.15554166706175,12.5,37.4,11,0,312,33,36,23.0,649.8,235,3.83,4,0.673,0,1,0,0,90.0,CRITICAL,27.3,830,CRITICAL_injunction
25.1,14,3,477.5291708739396,13.6,59.5,21,0,139,49,60,20.9,1431.6,439,3.99,5,0.755,0,1,0,1,88.9,CRITICAL,31.6,961,CRITICAL_injunction
35.9,10,4,299.4935704243775,17.4,64.2,136,1,181,30,60,26.9,1167.6,382,5.24,17,0.71,1,0,0,0,69.9,CRITICAL,31.8,967,CRITICAL_injunction
22.1,18,2,448.20097756214034,16.3,43.3,151,0,295,49,60,22.0,906.3,255,4.93,21,0.513,1,0,0,1,90.7,CRITICAL,31.5,958,CRITICAL_injunction
40.9,6,2,225.5266089914573,47.3,26.3,11,0,0,29,48,23.8,389.1,72,2.84,10,0.268,0,0,0,1,51.1,HIGH,13.8,420,HIGH_backlog
82.5,1,0,32.318432325629274,93.0,4.3,0,1,0,12,18,8.3,123.4,23,0.59,31,0.012,0,0,0,0,12.0,LOW,0.3,9,LOW_streamlined
87.3,0,0,44.298386799149206,84.1,5.5,0,1,0,5,18,4.1,235.4,13,0.43,47,0.051,0,0,1,1,12.0,LOW,1.3,40,LOW_streamlined
42.2,8,3,232.40154739957097,30.9,35.4,2,1,0,21,48,22.6,121.0,33,3.41,23,0.278,0,1,0,0,63.5,HIGH,14.4,438,HIGH_backlog
81.9,1,0,49.89068244293173,93.6,5.3,0,1,0,9,24,6.2,69.6,10,0.77,16,0.048,0,0,1,1,12.0,LOW,1.0,30,LOW_streamlined
87.7,0,0,28.989289008961492,89.2,5.3,0,1,0,5,24,8.3,107.5,14,0.56,29,0.012,0,0,1,1,12.0,LOW,1.0,30,LOW_streamlined
61.1,4,0,171.2441453755568,64.2,8.1,1,1,0,8,24,9.4,260.6,37,1.94,17,0.094,0,0,1,1,27.8,MODERATE,4.4,134,MODERATE_standard
50.3,8,1,259.4237107480465,37.1,22.9,21,1,78,21,48,22.4,472.6,100,2.97,5,0.408,0,1,0,0,50.9,HIGH,12.2,371,HIGH_backlog
61.8,4,0,140.10598791497645,56.0,15.8,2,1,0,13,36,9.7,256.1,52,1.66,21,0.162,0,0,0,1,33.0,MODERATE,4.0,122,MODERATE_standard
89.2,1,0,10.791054588279122,85.3,3.5,0,1,0,12,30,5.7,61.0,5,0.77,33,0.034,0,0,0,0,12.0,LOW,1.9,58,LOW_streamlined
13.6,12,5,455.7368896427424,9.4,59.0,46,0,197,38,36,25.0,311.4,94,4.84,23,0.682,1,0,0,0,94.0,CRITICAL,17.0,517,CRITICAL_injunction
30.1,14,5,343.35336210097245,17.6,45.4,58,0,156,36,48,34.9,315.4,113,5.35,13,0.745,1,0,0,0,93.3,CRITICAL,26.0,790,CRITICAL_injunction
63.8,3,0,107.637782048914,70.6,8.9,0,1,0,12,24,12.1,365.2,78,1.64,23,0.209,0,0,0,1,22.2,LOW,1.0,30,MODERATE_standard
16.2,18,4,502.06975218127747,11.6,55.8,12,1,326,35,60,33.8,892.2,254,4.47,15,0.718,0,0,0,1,76.4,CRITICAL,24.0,730,CRITICAL_injunction
86.5,0,0,35.30709314201221,84.9,7.7,0,1,0,17,30,6.2,209.8,19,0.27,35,0.025,0,0,1,1,12.0,LOW,0.2,6,LOW_streamlined
40.2,8,1,251.31909794097055,27.3,24.9,6,0,89,20,36,18.5,234.2,48,3.07,17,0.357,0,0,0,1,64.5,HIGH,14.2,432,HIGH_backlog
65.7,4,0,124.237215774311,55.7,8.2,2,1,0,14,24,10.5,311.6,49,1.11,14,0.217,0,0,0,0,26.8,MODERATE,3.5,106,MODERATE_standard
21.0,14,5,537.9403653560606,13.7,46.8,190,0,195,37,48,30.3,1039.9,274,4.38,7,0.744,1,0,0,1,94.0,CRITICAL,30.4,924,CRITICAL_injunction
85.9,0,0,44.01138896041766,92.0,1.2,0,1,0,4,18,4.2,209.8,22,0.26,37,0.015,0,0,0,1,12.0,LOW,0.7,21,LOW_streamlined
38.4,6,2,267.4528996395969,47.3,21.3,52,1,0,23,48,17.0,779.5,242,3.06,24,0.411,0,0,0,0,54.2,HIGH,8.3,252,HIGH_backlog
60.0,2,0,111.84922595330352,70.4,11.4,0,1,0,18,36,12.1,178.9,23,1.65,38,0.114,0,0,1,1,23.1,LOW,1.6,49,MODERATE_standard
51.1,6,2,317.8537635334311,40.1,32.4,13,0,0,34,48,17.3,570.0,139,2.38,22,0.454,0,1,0,1,55.1,HIGH,11.5,350,HIGH_backlog
28.5,14,2,404.62051809334326,17.1,61.2,8,0,122,39,48,23.7,645.1,179,4.95,23,0.485,0,1,0,0,87.9,CRITICAL,24.9,757,CRITICAL_injunction
32.2,14,4,463.16228217088826,5.2,60.0,18,0,301,47,48,32.6,1259.7,379,4.44,13,0.494,0,1,0,1,91.9,CRITICAL,26.3,800,CRITICAL_injunction
64.2,3,1,72.4964829504345,69.2,12.0,2,1,0,10,36,10.6,404.5,70,1.73,7,0.148,0,0,0,1,28.3,MODERATE,4.4,134,MODERATE_standard
40.2,7,1,292.1913682147327,30.4,31.8,4,0,63,25,48,17.4,153.9,27,3.09,16,0.295,1,1,0,0,66.8,HIGH,14.9,453,HIGH_backlog
26.1,18,4,295.1567479223767,18.3,52.6,98,0,174,43,36,25.7,699.0,203,4.42,12,0.602,1,0,0,0,92.3,CRITICAL,16.8,511,CRITICAL_injunction
46.5,6,1,218.6007794333773,31.5,20.2,8,1,117,36,36,19.0,447.5,111,2.8,25,0.317,0,1,0,1,53.2,HIGH,14.0,426,HIGH_backlog
47.9,7,3,290.2798221738792,45.3,22.0,7,0,0,32,48,23.8,143.9,33,2.4,22,0.298,0,0,0,1,54.7,HIGH,14.8,450,HIGH_backlog
91.6,0,0,52.345936404427995,89.1,4.4,0,1,0,11,24,6.1,46.2,5,0.3,35,0.025,0,0,1,1,12.0,LOW,2.2,67,LOW_streamlined
44.1,8,2,182.51239499958885,37.5,34.0,6,1,52,27,36,18.0,555.7,113,3.53,18,0.438,1,0,0,0,59.7,HIGH,10.4,316,HIGH_backlog
22.6,10,3,484.5201088931427,8.5,40.9,11,1,194,26,48,29.6,900.3,224,3.89,21,0.632,0,0,0,0,71.1,CRITICAL,24.9,757,CRITICAL_injunction
69.7,4,1,162.8248723290113,56.9,16.2,0,1,0,13,36,9.8,176.7,46,1.77,16,0.218,0,1,0,1,31.4,MODERATE,4.5,137,MODERATE_standard
31.8,18,3,360.0522409464951,12.2,41.3,16,0,340,24,36,21.7,1346.5,334,5.02,23,0.765,0,1,0,0,87.5,CRITICAL,21.0,638,CRITICAL_injunction
17.8,12,4,455.809847918052,11.6,39.3,13,0,204,26,48,32.6,842.5,265,4.44,23,0.672,0,0,0,1,88.3,CRITICAL,27.0,821,CRITICAL_injunction
17.1,14,5,515.225210211024,10.8,36.0,150,0,309,32,60,30.0,1086.2,216,4.02,21,0.685,1,0,0,0,94.0,CRITICAL,17.8,541,CRITICAL_injunction
22.1,18,2,511.7522527357626,19.1,36.3,7,0,190,27,60,33.7,693.4,158,5.01,19,0.456,0,1,0,0,87.3,CRITICAL,29.3,891,CRITICAL_injunction
23.3,10,2,480.6621636575329,16.4,44.0,118,1,336,24,36,32.8,1025.6,260,4.84,15,0.762,1,0,0,1,77.2,CRITICAL,17.3,526,CRITICAL_injunction
76.3,0,0,14.692864241167811,88.8,6.7,0,1,0,11,18,8.5,212.8,20,0.67,41,0.072,0,0,1,1,12.0,LOW,0.8,24,LOW_streamlined
28.9,10,3,411.6701085277414,14.7,42.1,124,0,348,40,48,29.0,803.8,171,4.99,13,0.672,1,0,0,1,93.4,CRITICAL,20.1,611,CRITICAL_injunction
75.1,0,0,15.401287706534568,80.0,0.1,0,1,0,11,18,5.7,29.1,6,0.76,32,0.046,0,0,1,1,12.0,LOW,0.2,6,LOW_streamlined
84.5,0,0,46.49301544242392,78.8,7.4,0,1,0,4,30,8.4,208.2,31,0.67,21,0.057,0,0,0,1,12.0,LOW,1.8,55,LOW_streamlined
18.2,14,2,441.0068100922995,20.2,55.0,97,0,336,48,60,26.1,1267.6,260,4.14,18,0.594,1,0,0,0,94.0,CRITICAL,25.6,778,CRITICAL_injunction
73.9,3,0,70.12708566534508,65.3,16.2,3,1,0,21,36,11.8,304.4,67,1.92,33,0.11,0,0,0,1,27.1,MODERATE,6.7,204,MODERATE_standard
64.1,4,0,166.75824396210797,62.7,12.5,2,1,0,11,36,9.1,388.2,72,1.43,6,0.135,0,0,0,1,26.5,MODERATE,5.9,179,MODERATE_standard
76.5,1,0,40.288962472634516,82.2,3.3,0,1,0,8,30,5.8,224.7,18,0.35,47,0.042,0,0,1,1,12.0,LOW,0.4,12,LOW_streamlined
83.1,1,0,32.92615044409453,75.5,1.3,0,1,0,4,24,5.4,72.6,11,0.83,16,0.077,0,0,0,1,12.0,LOW,2.1,64,LOW_streamlined
78.2,1,0,51.68249809687928,87.5,4.4,0,1,0,11,24,6.2,40.3,1,0.41,21,0.024,0,0,1,1,12.2,LOW,0.9,27,LOW_streamlined
27.0,18,5,448.31960870304886,12.6,49.7,8,0,256,36,36,29.3,505.5,166,3.9,10,0.464,0,1,0,0,87.0,CRITICAL,31.4,955,CRITICAL_injunction
91.7,2,0,17.43979847025578,95.2,2.2,0,1,0,5,30,6.3,157.8,16,0.89,29,0.07,0,0,1,1,12.0,LOW,0.9,27,LOW_streamlined
64.5,3,1,84.05694186340833,66.8,16.3,1,1,0,23,24,9.8,259.0,44,1.87,20,0.199,0,1,0,0,34.8,MODERATE,5.8,176,MODERATE_standard
52.5,9,1,319.69491979547695,29.8,24.5,33,0,63,25,36,16.1,613.8,190,3.23,25,0.435,1,0,0,1,56.4,HIGH,13.3,404,HIGH_backlog
76.6,0,0,27.441026698473966,84.4,3.3,0,1,0,10,30,4.6,209.0,36,0.77,46,0.015,0,0,0,0,12.0,LOW,0.2,6,LOW_streamlined
52.5,9,1,246.70117808813083,34.3,34.9,13,1,118,23,48,20.8,689.5,143,2.7,20,0.281,1,1,0,0,60.9,HIGH,11.5,350,HIGH_backlog
66.8,4,0,119.60345073815358,53.1,13.2,0,1,0,20,24,11.0,231.6,48,1.22,27,0.088,0,0,0,0,23.4,LOW,0.7,21,MODERATE_standard
62.3,4,1,112.05809034918354,56.9,16.4,3,1,0,13,24,15.4,408.3,72,1.44,38,0.093,0,1,0,0,35.7,MODERATE,5.2,158,MODERATE_standard
95.3,1,0,24.902610431972157,96.9,6.1,0,1,0,13,30,4.5,233.9,36,0.75,35,0.013,0,0,0,1,12.0,LOW,1.1,33,LOW_streamlined
41.8,9,1,274.8938480434062,35.9,30.5,8,0,0,35,48,17.1,177.7,51,3.11,23,0.329,1,0,0,0,64.6,HIGH,10.8,328,HIGH_backlog
24.4,10,3,371.08329762765504,20.9,43.0,10,0,124,27,36,21.9,808.6,207,4.33,12,0.592,0,1,0,0,86.2,CRITICAL,23.4,711,CRITICAL_injunction
25.8,12,2,397.5870588774915,12.3,37.3,31,0,202,47,48,31.1,254.2,73,3.95,16,0.65,1,0,0,0,90.7,CRITICAL,26.6,809,CRITICAL_injunction
93.9,1,0,33.67004407474563,96.6,5.7,0,1,0,6,24,4.3,244.1,39,0.67,32,0.079,0,0,1,1,12.0,LOW,1.6,49,LOW_streamlined
18.6,18,2,453.56110699604704,15.0,64.4,40,0,347,32,48,25.1,298.3,68,4.95,13,0.471,1,0,0,0,94.0,CRITICAL,27.0,821,CRITICAL_injunction
73.4,4,0,81.63695225073337,70.4,14.2,0,1,0,23,24,12.2,53.1,14,1.6,35,0.147,0,1,1,0,23.1,LOW,2.5,76,MODERATE_standard
61.5,2,0,61.56354813085005,70.2,12.6,2,1,0,16,36,9.1,391.5,76,1.85,30,0.13,0,1,1,0,30.3,MODERATE,4.8,146,MODERATE_standard
23.0,14,5,442.82736266603945,23.2,58.4,21,0,308,30,60,25.7,1470.5,437,4.6,19,0.466,0,0,0,0,92.0,CRITICAL,28.9,879,CRITICAL_injunction
65.9,3,0,63.91415380098798,60.6,13.1,0,1,0,23,24,9.4,221.5,27,1.5,15,0.167,0,0,0,0,20.5,LOW,1.0,30,MODERATE_standard
79.6,0,0,53.338517725300015,75.8,0.3,0,1,0,11,30,5.4,102.5,10,0.87,32,0.041,0,0,1,1,12.0,LOW,0.7,21,LOW_streamlined
23.9,10,3,510.8581544373825,16.2,41.1,13,1,137,37,60,21.0,759.1,273,5.38,13,0.593,0,0,0,0,73.6,CRITICAL,29.4,894,CRITICAL_injunction
80.9,0,0,48.277337525793044,75.9,3.4,0,1,0,11,18,4.0,187.2,23,0.49,30,0.014,0,0,1,0,12.0,LOW,0.8,24,LOW_streamlined
43.5,9,1,231.93174114208713,41.4,25.2,16,0,118,26,36,22.0,717.9,122,2.75,19,0.415,1,1,0,1,68.3,CRITICAL,24.7,751,HIGH_backlog
69.4,3,0,104.31369242586493,52.3,15.6,0,1,0,12,36,15.5,58.3,15,1.84,29,0.18,0,0,0,1,25.3,MODERATE,6.3,192,MODERATE_standard
69.6,3,0,79.56424043179092,70.8,13.6,0,1,0,19,24,14.5,187.8,13,1.76,19,0.084,0,0,1,0,23.0,LOW,0.0,0,MODERATE_standard
66.1,2,1,126.32484908622543,69.0,15.2,1,1,0,8,36,11.8,296.4,48,1.22,35,0.102,0,0,1,1,28.7,MODERATE,6.0,182,MODERATE_standard
82.4,1,0,30.226369278693486,82.7,5.0,0,1,0,8,18,4.3,36.3,6,0.75,22,0.04,0,0,0,1,12.0,LOW,0.8,24,LOW_streamlined
62.4,2,0,81.52376184146526,71.6,12.3,0,1,0,12,36,15.8,132.2,24,1.2,19,0.183,0,0,1,0,17.2,LOW,1.0,30,MODERATE_standard
39.4,6,2,267.31082896063725,31.8,35.2,10,0,0,19,36,16.1,523.8,135,3.55,10,0.419,0,1,0,0,61.1,HIGH,12.3,374,HIGH_backlog
93.5,1,0,44.00559427234863,88.5,1.6,0,1,0,14,30,6.0,140.9,8,0.21,32,0.028,0,0,1,1,12.0,LOW,2.1,64,LOW_streamlined
64.9,4,0,130.73447873816366,59.6,10.6,2,1,0,22,24,13.3,345.8,52,1.67,14,0.18,0,0,0,1,29.8,MODERATE,3.9,119,MODERATE_standard
55.1,9,3,256.19555525591767,43.5,33.4,8,1,99,19,48,21.9,135.0,49,2.93,5,0.343,0,0,0,0,55.7,HIGH,9.9,301,HIGH_backlog
22.6,10,5,358.94343981129214,22.8,54.5,22,0,226,35,48,20.3,1389.8,452,4.1,13,0.47,0,1,0,0,94.0,CRITICAL,30.8,936,CRITICAL_injunction
52.7,6,1,214.99397249566698,27.5,31.0,22,0,68,35,48,18.8,296.7,94,3.36,24,0.327,0,1,0,0,59.3,HIGH,10.5,319,HIGH_backlog
68.8,4,0,133.26561060185094,68.9,16.4,0,1,0,21,24,10.1,158.6,20,1.71,12,0.177,0,0,1,1,25.5,MODERATE,3.5,106,MODERATE_standard
75.4,0,0,27.71356636086078,95.5,1.3,0,1,0,5,24,4.5,190.3,27,0.36,30,0.053,0,0,0,1,12.0,LOW,0.6,18,LOW_streamlined
45.4,7,1,264.7893045052776,39.5,33.9,33,1,0,28,36,17.1,624.6,165,3.17,9,0.348,0,0,0,0,52.8,HIGH,9.4,286,HIGH_backlog
88.2,0,0,46.1721831177456,80.8,5.5,0,1,0,11,30,6.7,238.8,34,0.79,41,0.069,0,0,1,1,12.0,LOW,1.1,33,LOW_streamlined
39.2,7,3,189.3190619079912,34.0,34.0,8,0,0,22,48,19.0,674.4,154,3.33,15,0.499,0,1,0,0,63.3,HIGH,10.2,310,HIGH_backlog
38.2,7,1,292.6292499404551,40.2,23.5,2,0,45,32,36,22.1,149.0,42,3.02,24,0.438,0,0,0,0,54.7,HIGH,12.7,386,HIGH_backlog
22.4,12,4,362.8642185625339,21.2,58.2,123,0,291,40,60,25.8,1127.2,299,4.68,6,0.66,1,0,0,0,92.6,CRITICAL,29.9,909,CRITICAL_injunction
66.8,4,0,123.4469302918123,64.0,13.3,0,1,0,14,36,14.8,252.8,25,1.52,15,0.172,0,0,1,0,24.0,MODERATE,7.4,225,MODERATE_standard
33.3,18,4,395.82593159704044,17.0,59.7,41,1,243,35,48,31.0,314.9,92,4.37,16,0.483,1,0,0,0,73.7,CRITICAL,29.0,882,CRITICAL_injunction
93.7,0,0,14.011112322785703,84.3,6.8,0,1,0,17,18,5.6,35.5,7,0.21,12,0.074,0,0,1,1,12.0,LOW,1.3,40,LOW_streamlined
60.2,4,0,104.57831323913211,62.5,13.8,2,1,0,18,24,13.3,275.4,59,1.67,21,0.142,0,0,1,1,29.9,MODERATE,6.9,210,MODERATE_standard
68.1,5,0,126.56252517361035,64.2,8.5,0,1,0,22,24,14.2,336.0,43,1.83,20,0.109,0,0,1,1,21.8,LOW,2.4,73,MODERATE_standard
73.3,4,0,69.42693971084725,62.9,16.8,0,1,0,18,24,14.2,57.7,16,1.19,26,0.178,0,1,1,1,29.8,MODERATE,4.0,122,MODERATE_standard
89.4,1,0,16.26102797584157,93.4,3.0,0,1,0,17,18,5.0,159.6,29,0.35,36,0.052,0,0,0,1,12.0,LOW,1.1,33,LOW_streamlined
23.3,10,2,542.7307354363205,6.9,43.1,171,0,352,30,48,26.6,1262.1,454,4.06,19,0.564,1,0,0,1,90.4,CRITICAL,19.7,599,CRITICAL_injunction
